next-deadline,ID,site1,autoID2,site2,site3,autoID3,site4,autoID4,site5,autoID5,Submittal Frequency,tasks,Worksheets,Performanc Frequency,Responsible Party1,Responsible Party2,Count of autoID1
"Friday, January 27, 2017",17,5900 westpark,1017,ne-service-center,se-service-center,1017,nw-service-center,1017,sw-service-center,1017,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, January 27, 2017",404,5900 westpark,1404,ne-service-center,se-service-center,1404,nw-service-center,1404,sw-service-center,1404,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, January 27, 2017",796,5900 westpark,1796,ne-service-center,se-service-center,1796,nw-service-center,1796,sw-service-center,1796,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, February 03, 2017",18,5900 westpark,1018,ne-service-center,se-service-center,1018,nw-service-center,1018,sw-service-center,1018,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 03, 2017",405,5900 westpark,1405,ne-service-center,se-service-center,1405,nw-service-center,1405,sw-service-center,1405,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, February 10, 2017",19,5900 westpark,1019,ne-service-center,se-service-center,1019,nw-service-center,1019,sw-service-center,1019,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 10, 2017",406,5900 westpark,1406,ne-service-center,se-service-center,1406,nw-service-center,1406,sw-service-center,1406,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, February 17, 2017",20,5900 westpark,1020,ne-service-center,se-service-center,1020,nw-service-center,1020,sw-service-center,1020,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 17, 2017",407,5900 westpark,1407,ne-service-center,se-service-center,1407,nw-service-center,1407,sw-service-center,1407,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, February 24, 2017",21,5900 westpark,1021,ne-service-center,se-service-center,1021,nw-service-center,1021,sw-service-center,1021,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, February 24, 2017",408,5900 westpark,1408,ne-service-center,se-service-center,1408,nw-service-center,1408,sw-service-center,1408,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, February 24, 2017",797,5900 westpark,1797,ne-service-center,se-service-center,1797,nw-service-center,1797,sw-service-center,1797,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, March 03, 2017",22,5900 westpark,1022,ne-service-center,se-service-center,1022,nw-service-center,1022,sw-service-center,1022,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 03, 2017",409,5900 westpark,1409,ne-service-center,se-service-center,1409,nw-service-center,1409,sw-service-center,1409,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, March 10, 2017",23,5900 westpark,1023,ne-service-center,se-service-center,1023,nw-service-center,1023,sw-service-center,1023,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 10, 2017",410,5900 westpark,1410,ne-service-center,se-service-center,1410,nw-service-center,1410,sw-service-center,1410,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, March 17, 2017",24,5900 westpark,1024,ne-service-center,se-service-center,1024,nw-service-center,1024,sw-service-center,1024,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 17, 2017",411,5900 westpark,1411,ne-service-center,se-service-center,1411,nw-service-center,1411,sw-service-center,1411,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, March 24, 2017",25,5900 westpark,1025,ne-service-center,se-service-center,1025,nw-service-center,1025,sw-service-center,1025,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 24, 2017",412,5900 westpark,1412,ne-service-center,se-service-center,1412,nw-service-center,1412,sw-service-center,1412,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Monday, March 27, 2017",798,5900 westpark,1798,ne-service-center,se-service-center,1798,nw-service-center,1798,sw-service-center,1798,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Thursday, March 30, 2017",366,5900 westpark,1366,ne-service-center,se-service-center,1366,nw-service-center,1366,sw-service-center,1366,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Thursday, March 30, 2017",767,5900 westpark,1767,ne-service-center,se-service-center,1767,nw-service-center,1767,sw-service-center,1767,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Thursday, March 30, 2017",898,5900 westpark,1898,ne-service-center,se-service-center,1898,nw-service-center,1898,sw-service-center,1898,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Friday, March 31, 2017",26,5900 westpark,1026,ne-service-center,se-service-center,1026,nw-service-center,1026,sw-service-center,1026,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, March 31, 2017",413,5900 westpark,1413,ne-service-center,se-service-center,1413,nw-service-center,1413,sw-service-center,1413,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 07, 2017",27,5900 westpark,1027,ne-service-center,se-service-center,1027,nw-service-center,1027,sw-service-center,1027,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 07, 2017",414,5900 westpark,1414,ne-service-center,se-service-center,1414,nw-service-center,1414,sw-service-center,1414,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 14, 2017",28,5900 westpark,1028,ne-service-center,se-service-center,1028,nw-service-center,1028,sw-service-center,1028,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 14, 2017",415,5900 westpark,1415,ne-service-center,se-service-center,1415,nw-service-center,1415,sw-service-center,1415,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 21, 2017",29,5900 westpark,1029,ne-service-center,se-service-center,1029,nw-service-center,1029,sw-service-center,1029,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 21, 2017",416,5900 westpark,1416,ne-service-center,se-service-center,1416,nw-service-center,1416,sw-service-center,1416,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 28, 2017",30,5900 westpark,1030,ne-service-center,se-service-center,1030,nw-service-center,1030,sw-service-center,1030,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, April 28, 2017",417,5900 westpark,1417,ne-service-center,se-service-center,1417,nw-service-center,1417,sw-service-center,1417,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, April 28, 2017",799,5900 westpark,1799,ne-service-center,se-service-center,1799,nw-service-center,1799,sw-service-center,1799,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, May 05, 2017",31,5900 westpark,1031,ne-service-center,se-service-center,1031,nw-service-center,1031,sw-service-center,1031,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 05, 2017",418,5900 westpark,1418,ne-service-center,se-service-center,1418,nw-service-center,1418,sw-service-center,1418,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 12, 2017",32,5900 westpark,1032,ne-service-center,se-service-center,1032,nw-service-center,1032,sw-service-center,1032,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 12, 2017",419,5900 westpark,1419,ne-service-center,se-service-center,1419,nw-service-center,1419,sw-service-center,1419,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 19, 2017",33,5900 westpark,1033,ne-service-center,se-service-center,1033,nw-service-center,1033,sw-service-center,1033,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 19, 2017",420,5900 westpark,1420,ne-service-center,se-service-center,1420,nw-service-center,1420,sw-service-center,1420,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, May 26, 2017",34,5900 westpark,1034,ne-service-center,se-service-center,1034,nw-service-center,1034,sw-service-center,1034,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, May 26, 2017",421,5900 westpark,1421,ne-service-center,se-service-center,1421,nw-service-center,1421,sw-service-center,1421,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Monday, May 29, 2017",800,5900 westpark,1800,ne-service-center,se-service-center,1800,nw-service-center,1800,sw-service-center,1800,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, June 02, 2017",35,5900 westpark,1035,ne-service-center,se-service-center,1035,nw-service-center,1035,sw-service-center,1035,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 02, 2017",422,5900 westpark,1422,ne-service-center,se-service-center,1422,nw-service-center,1422,sw-service-center,1422,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, June 09, 2017",36,5900 westpark,1036,ne-service-center,se-service-center,1036,nw-service-center,1036,sw-service-center,1036,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 09, 2017",423,5900 westpark,1423,ne-service-center,se-service-center,1423,nw-service-center,1423,sw-service-center,1423,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, June 16, 2017",37,5900 westpark,1037,ne-service-center,se-service-center,1037,nw-service-center,1037,sw-service-center,1037,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 16, 2017",424,5900 westpark,1424,ne-service-center,se-service-center,1424,nw-service-center,1424,sw-service-center,1424,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, June 23, 2017",38,5900 westpark,1038,ne-service-center,se-service-center,1038,nw-service-center,1038,sw-service-center,1038,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 23, 2017",425,5900 westpark,1425,ne-service-center,se-service-center,1425,nw-service-center,1425,sw-service-center,1425,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Wednesday, June 28, 2017",768,5900 westpark,1768,ne-service-center,se-service-center,1768,nw-service-center,1768,sw-service-center,1768,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Wednesday, June 28, 2017",801,5900 westpark,1801,ne-service-center,se-service-center,1801,nw-service-center,1801,sw-service-center,1801,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Wednesday, June 28, 2017",899,5900 westpark,1899,ne-service-center,se-service-center,1899,nw-service-center,1899,sw-service-center,1899,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Thursday, June 29, 2017",931,5900 westpark,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Semi-annual,Benchmark Monitoring,15-1,Semi-annual,GSD vendor,GSD vendor,1
"Friday, June 30, 2017",6,5900 westpark,1006,ne-service-center,se-service-center,1006,nw-service-center,1006,sw-service-center,1006,Annual,Annual Site Inspection,"16,16-1, 16-2",Annual,All SWP3 team members,All SWP3 team members,1
"Friday, June 30, 2017",7,5900 westpark,1007,ne-service-center,se-service-center,1007,nw-service-center,1007,sw-service-center,1007,Annual,Annual Metal Monitoring,15-1,Annual,GSD vendor,GSD vendor,1
"Friday, June 30, 2017",39,5900 westpark,1039,ne-service-center,se-service-center,1039,nw-service-center,1039,sw-service-center,1039,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, June 30, 2017",367,5900 westpark,1367,ne-service-center,se-service-center,1367,nw-service-center,1367,sw-service-center,1367,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Friday, June 30, 2017",426,5900 westpark,1426,ne-service-center,se-service-center,1426,nw-service-center,1426,sw-service-center,1426,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 07, 2017",40,5900 westpark,1040,ne-service-center,se-service-center,1040,nw-service-center,1040,sw-service-center,1040,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 07, 2017",427,5900 westpark,1427,ne-service-center,se-service-center,1427,nw-service-center,1427,sw-service-center,1427,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 14, 2017",41,5900 westpark,1041,ne-service-center,se-service-center,1041,nw-service-center,1041,sw-service-center,1041,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 14, 2017",428,5900 westpark,1428,ne-service-center,se-service-center,1428,nw-service-center,1428,sw-service-center,1428,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 21, 2017",42,5900 westpark,1042,ne-service-center,se-service-center,1042,nw-service-center,1042,sw-service-center,1042,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 21, 2017",429,5900 westpark,1429,ne-service-center,se-service-center,1429,nw-service-center,1429,sw-service-center,1429,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 28, 2017",43,5900 westpark,1043,ne-service-center,se-service-center,1043,nw-service-center,1043,sw-service-center,1043,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, July 28, 2017",430,5900 westpark,1430,ne-service-center,se-service-center,1430,nw-service-center,1430,sw-service-center,1430,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, July 28, 2017",802,5900 westpark,1802,ne-service-center,se-service-center,1802,nw-service-center,1802,sw-service-center,1802,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, August 04, 2017",44,5900 westpark,1044,ne-service-center,se-service-center,1044,nw-service-center,1044,sw-service-center,1044,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 04, 2017",431,5900 westpark,1431,ne-service-center,se-service-center,1431,nw-service-center,1431,sw-service-center,1431,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 11, 2017",45,5900 westpark,1045,ne-service-center,se-service-center,1045,nw-service-center,1045,sw-service-center,1045,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 11, 2017",432,5900 westpark,1432,ne-service-center,se-service-center,1432,nw-service-center,1432,sw-service-center,1432,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 18, 2017",46,5900 westpark,1046,ne-service-center,se-service-center,1046,nw-service-center,1046,sw-service-center,1046,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 18, 2017",433,5900 westpark,1433,ne-service-center,se-service-center,1433,nw-service-center,1433,sw-service-center,1433,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, August 25, 2017",47,5900 westpark,1047,ne-service-center,se-service-center,1047,nw-service-center,1047,sw-service-center,1047,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, August 25, 2017",434,5900 westpark,1434,ne-service-center,se-service-center,1434,nw-service-center,1434,sw-service-center,1434,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Tuesday, August 29, 2017",803,5900 westpark,1803,ne-service-center,se-service-center,1803,nw-service-center,1803,sw-service-center,1803,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, September 01, 2017",48,5900 westpark,1048,ne-service-center,se-service-center,1048,nw-service-center,1048,sw-service-center,1048,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 01, 2017",435,5900 westpark,1435,ne-service-center,se-service-center,1435,nw-service-center,1435,sw-service-center,1435,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, September 08, 2017",49,5900 westpark,1049,ne-service-center,se-service-center,1049,nw-service-center,1049,sw-service-center,1049,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 08, 2017",436,5900 westpark,1436,ne-service-center,se-service-center,1436,nw-service-center,1436,sw-service-center,1436,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, September 15, 2017",50,5900 westpark,1050,ne-service-center,se-service-center,1050,nw-service-center,1050,sw-service-center,1050,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 15, 2017",437,5900 westpark,1437,ne-service-center,se-service-center,1437,nw-service-center,1437,sw-service-center,1437,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, September 22, 2017",51,5900 westpark,1051,ne-service-center,se-service-center,1051,nw-service-center,1051,sw-service-center,1051,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 22, 2017",438,5900 westpark,1438,ne-service-center,se-service-center,1438,nw-service-center,1438,sw-service-center,1438,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Tuesday, September 26, 2017",769,5900 westpark,1769,ne-service-center,se-service-center,1769,nw-service-center,1769,sw-service-center,1769,Quarterly,Quarterly Periodic Inspection,13,Quarterly,Project Manager,Chief of Staff,1
"Tuesday, September 26, 2017",900,5900 westpark,1900,ne-service-center,se-service-center,1900,nw-service-center,1900,sw-service-center,1900,Quarterly,Quarterly Truck Wash,(blank),Quarterly,Q Environmental,to be determined,1
"Thursday, September 28, 2017",804,5900 westpark,1804,ne-service-center,se-service-center,1804,nw-service-center,1804,sw-service-center,1804,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, September 29, 2017",52,5900 westpark,1052,ne-service-center,se-service-center,1052,nw-service-center,1052,sw-service-center,1052,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, September 29, 2017",439,5900 westpark,1439,ne-service-center,se-service-center,1439,nw-service-center,1439,sw-service-center,1439,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Saturday, September 30, 2017",368,5900 westpark,1368,ne-service-center,se-service-center,1368,nw-service-center,1368,sw-service-center,1368,Quarterly,Visual Monitoring,15,Quarterly,Yard Man,onsite DAD,1
"Friday, October 06, 2017",53,5900 westpark,1053,ne-service-center,se-service-center,1053,nw-service-center,1053,sw-service-center,1053,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 06, 2017",440,5900 westpark,1440,ne-service-center,se-service-center,1440,nw-service-center,1440,sw-service-center,1440,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, October 13, 2017",54,5900 westpark,1054,ne-service-center,se-service-center,1054,nw-service-center,1054,sw-service-center,1054,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 13, 2017",441,5900 westpark,1441,ne-service-center,se-service-center,1441,nw-service-center,1441,sw-service-center,1441,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, October 20, 2017",55,5900 westpark,1055,ne-service-center,se-service-center,1055,nw-service-center,1055,sw-service-center,1055,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 20, 2017",442,5900 westpark,1442,ne-service-center,se-service-center,1442,nw-service-center,1442,sw-service-center,1442,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, October 27, 2017",56,5900 westpark,1056,ne-service-center,se-service-center,1056,nw-service-center,1056,sw-service-center,1056,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, October 27, 2017",443,5900 westpark,1443,ne-service-center,se-service-center,1443,nw-service-center,1443,sw-service-center,1443,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Monday, October 30, 2017",805,5900 westpark,1805,ne-service-center,se-service-center,1805,nw-service-center,1805,sw-service-center,1805,Monthly,Oil Water Separator Maintenance,none,Monthly,Q Environmental,to be determined,1
"Friday, November 03, 2017",57,5900 westpark,1057,ne-service-center,se-service-center,1057,nw-service-center,1057,sw-service-center,1057,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 03, 2017",444,5900 westpark,1444,ne-service-center,se-service-center,1444,nw-service-center,1444,sw-service-center,1444,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 10, 2017",58,5900 westpark,1058,ne-service-center,se-service-center,1058,nw-service-center,1058,sw-service-center,1058,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 10, 2017",445,5900 westpark,1445,ne-service-center,se-service-center,1445,nw-service-center,1445,sw-service-center,1445,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 17, 2017",59,5900 westpark,1059,ne-service-center,se-service-center,1059,nw-service-center,1059,sw-service-center,1059,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 17, 2017",446,5900 westpark,1446,ne-service-center,se-service-center,1446,nw-service-center,1446,sw-service-center,1446,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
"Friday, November 24, 2017",60,5900 westpark,1060,ne-service-center,se-service-center,1060,nw-service-center,1060,sw-service-center,1060,Weekly,"Spill response, inventory log",8,Daily,Yard Man,maint Sr. Superintendent,1
"Friday, November 24, 2017",447,5900 westpark,1447,ne-service-center,se-service-center,1447,nw-service-center,1447,sw-service-center,1447,Weekly,Routine Facility Inspection,7,Daily,Yard Man,onsite DAD,1
